income,count
"Under $5,000",4283
"$5,000 to  $9,999",3337
"$10,000 to $14,999",5510
"$15,000 to $19,999",5772
"$20,000 to $24,999",5672
"$25,000 to $29,999",5469
"$30,000 to $34,999",5822
"$35,000 to $39,999",5404
"$40,000 to $44,999",5195
"$45,000 to $49,999",4839
"$50,000 to $54,999",5300
"$55,000 to $59,999",4417
"$60,000 to $64,999",4604
"$65,000 to $69,999",3999
"$70,000 to $74,999",3795
"$75,000 to $79,999",3950
"$80,000 to $84,999",3349
"$85,000 to $89,999",3064
"$90,000 to $94,999",3102
"$95,000 to $99,999",2581
"$100,000 to $104,999",2866
"$105,000 to $109,999",2449
"$110,000 to $114,999",2318
"$115,000 to $119,999",1971
"$120,000 to $124,999",2004
"$125,000 to $129,999",1780
"$130,000 to $134,999",1678
"$135,000 to $139,999",1426
"$140,000 to $144,999",1414
"$145,000 to $149,999",1316
"$150,000 to $154,999",1492
"$155,000 to $159,999",978
"$160,000 to $164,999",1161
"$165,000 to $169,999",970
"$170,000 to $174,999",905
"$175,000 to $179,999",835
"$180,000 to $184,999",772
"$185,000 to $189,999",686
"$190,000 to $194,999",584
"$195,000 to $199,999",565
"$200,000 and over",10946
